Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,2:33 PM,7/24/2006,5:33 PM,Southern California Edison Company,California,WECC,414,Interruptible Tarriff 1-6 customers,"severe weather, heat"
Widespread Heat Wave/Public Appeals Made,2006,7/22/2006,1:09 PM,7/27/2006,4:00 PM,Pacific Gas and Electric Company,California,WECC,200,"1,271,893","severe weather, heat, public appeal"
Severe Storms (3) (Many customers experienced multiple outages.),2006,7/19/2006,6:00 PM,7/31/2006,8:00 AM,Ameren Corporation,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,"1,500","700,000 (peak)  2,500,000 (actual)","severe weather, storm"
Lightning Storms/Tripped Lines,2006,7/18/2006,8:07 PM,7/18/2006,10:32 PM,ISO New England,"Norwalk, Stamford, Connecticut",NPCC,0,0,"severe weather, thunderstorm"
Severe Lightning Storms,2006,7/16/2006,2:00 PM,7/21/2006,12:00 AM,Consumers Energy,Middle 1/3 of Michigan Lower Peninsula,RFC,150,"315,000","severe weather, thunderstorm"
Severe Thunderstorms,2006,7/4/2006,5:30 PM,7/4/2006,8:18 PM,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,335,"67,000","severe weather, thunderstorm"
Severe Thunderstorms,2006,7/2/2006,6:39 PM,7/3/2006,12:31 AM,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,300,"75,000","severe weather, thunderstorm"
Severe Thunderstorms,2006,6/22/2006,2:00 PM,6/27/2006,11:00 PM,American Electric Power,Ohio and Indiana,RFC,750,"195,000","severe weather, thunderstorm"
Severe Thunderstorm,2006,6/11/2006,6:00 PM,6/11/2006,9:00 PM,Duke Energy Carolinas,"Charlotte, North Carolina Metropolitan area",SERC,70,"72,000","severe weather, thunderstorm"
Load Shed,2006,6/1/2006,2:12 PM,6/1/2006,6:09 PM,Hawaiian Electric Company Inc.,Island of Oahu,HECO,120,"29,300",load shedding
Severe Thunderstorms,2006,6/1/2006,6:30 PM,6/3/2006,2:00 PM,Baltimore Gas and Electric,Central Maryland,RFC,335,"70,000","severe weather, thunderstorm"
Severe Weather,2006,5/25/2006,7:50 PM,5/27/2006,9:00 AM,"Duke Energy - Ohio, Kentucky, Indiana","Southwest Ohio, Northern Kentucky, Central Indiana",RFC,800,"210,000",severe weather
Lightning Strike,2006,5/19/2006,3:13 PM,5/19/2006,10:30 PM,Crockett Cogeneration,"San Francisco Bay area, California",WECC,133,-,"severe weather, thunderstorm"
Load Shed,2006,5/4/2006,2:12 PM,5/4/2006,2:45 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,"94,639",load shedding
Transmission Equipment Failure/Fire,2006,5/3/2006,3:30 PM,5/3/2006,9:35 PM,Pacific Gas and Electric Company,City of Bakersfield area,WECC,300,"55,655","equipment failure, wild fire"
Lightning Storm,2006,4/29/2006,2:55 PM,4/29/2006,3:45 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,237,"164,105","severe weather, thunderstorm"
Load Shed/Declared EECP,2006,4/17/2006,3:25 PM,4/17/2006,7:30 PM,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,"1,000","200,000",load shedding
Load Shed/ Declared EECP,2006,4/17/2006,4:11 PM,4/17/2006,7:20 PM,TXU Electric Delivery Company,North and East Texas,ERCOT,380,"489,478",load shedding
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:20 PM,4/17/2006,6:30 PM,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,"8,000 -10,000","load shedding, public appeal"
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:10 PM,4/17/2006,6:11 PM,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,"68,000","load shedding, public appeal"
Load Shed/Declared EECP,2006,4/17/2006,4:35 PM,4/17/2006,6:10 PM,American Electric Power,AEP Texas Central/Texas North,ERCOT,108,"51,404",load shedding
Major Storms/Tornadoes,2006,4/2/2006,9:00 PM,4/5/2006,4:25 AM,Cinergy PSI,Southern half of Indiana,RFC,"1,000","186,000","severe weather, tornado, storm"
Severe Weather,2006,3/12/2006,8:30 PM,3/14/2006,12:00 PM,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,"65,400",severe weather
Severe Winter Storm,2006,2/27/2006,6:25 PM,3/1/2006,2:30 PM,Pacific Gas and Electric Company,Northern and Central California,WECC,-,"160,000","severe weather, winter storm"
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,12:00 PM,2/20/2006,11:00 PM,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,"252,089","severe weather, winter storm"
Major Snow Storm,2006,2/11/2006,9:00 PM,2/14/2006,11:00 PM,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,"180,000","severe weather, winter storm"
Severe Storm,2006,1/18/2006,3:16 PM,1/18/2006,6:34 PM,Central Maine Power Company,Southern and Central Maine,NPCC,75,"63,000","severe weather, storm"
High Winds,2006,1/14/2006,3:45 PM,1/16/2006,5:30 PM,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,--,"142,315","severe weather, wind"
Severe Thunderstorms,2005,11/12/2005,4:00 PM,11/14/2005,6:00 PM,We Energies,Southeast Wisconsin,MAIN,10,"48,000","severe weather, thunderstorm"
Severe Thunderstorm,2005,11/12/2005,11:00 PM,11/14/2005,11:59 PM,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,"272,355","severe weather, thunderstorm"
Plant Tripped,2005,11/3/2005,6:47 PM,11/3/2005,7:00 PM,Crockett Cogeneration,"San Francisco Bay area, California",WECC,136,--,equipment failure
Hurricane Wilma,2005,10/24/2005,8:00 PM,11/2/2005,4:30 PM,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,"303,795","severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/23/2005,8:00 PM.,10/24/2005,2:00 PM,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,"10,000","3,241,437","severe weather, hurricane/tropical storm"
Voltage Reduction/Load Shed,2005,10/18/2005,3:19 PM,10/18/2005,3:37 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,"142,591","voltage reduction, load shedding"
Voltage Reduction/Load Shed,2005,10/2/2005,5:40 PM,10/2/2005,5:54 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,"71,240","voltage reduction, load shedding"
Hurricane Rita,2005,9/23/2005,5:00 PM,9/24/2005,8:00 PM,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,"1,950","715,000","severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,1:06 PM,10/6/2005,2:30 PM,Louisiana Generating,West and Southwest Louisiana,SPP,350,"125,000","severe weather, hurricane/tropical storm"
Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005,9/22/2005,12:00 PM,9/29/2005,12:00 PM,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Ophelia,2005,9/14/2005,3:00 PM,9/15/2005,3:00 PM,Progress Energy - Carolinas,Eastern North Carolina,SERC,215,"60,000","severe weather, hurricane/tropical storm"
Severe Storm,2005,9/13/2005,6:30 PM,9/16/2005,8:00 PM,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,"110,000","severe weather, storm"
Voltage Reduction/Load Shed,2005,9/13/2005,2:14 PM,9/13/2005,2:29 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,"66,480","voltage reduction, load shedding"
Breaker protection cable accidentally cut,2005,9/12/2005,12:32 PM,9/12/2005,1:56 PM,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,"2,578","900,000",equipment failure
Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,4:00 PM,9/12/2005,8:00 AM,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,5:00 PM,9/8/2005,12:01 AM,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina,2005,8/29/2005,3:50 PM,9/10/2005,12:00 PM,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,"323,529","severe weather, hurricane/tropical storm"
CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,3:51 PM,8/25/2005,8:00 PM,Southern California Edison Company,Southern California,WECC,864,"409,000","load shedding, transmission interruption"
CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,3:50 PM,8/25/2005,8:00 PM,California ISO,Southern California,WECC,-,-,"load shedding, public appeal"
Severe Thunderstorms,2005,8/20/2005,2:15 PM,8/20/2005,4:21 PM,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,"50,797","severe weather, thunderstorm"
Voltage Reduction/Load Shed,2005,8/19/2005,7:37 PM,8/19/2005,8:15 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,"71,864","voltage reduction, load shedding"
Plant Tripped,2005,8/8/2005,12:38 PM,8/8/2005,4:00 PM,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,PG&E,equipment failure
Severe Thunderstorm,2005,7/28/2005,8:30 PM,8/1/2005,5:00 PM,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,"52,200","severe weather, thunderstorm"
CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,1:55 PM,7/22/2005,6:00 PM,Southern California Edison Company,Southern California,WECC,206,"133,900",load shedding
CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,2:39 PM,7/21/2005,5:30 PM,Southern California Edison Company,Southern California,WECC,197,"128,050",load shedding
Hurricane Dennis,2005,7/10/2005,12:53 PM,7/11/2005,5:33 PM,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,"50,000","severe weather, hurricane/tropical storm"
Tropical Storm Cindy,2005,7/5/2005,9:00 PM,7/6/2005,9:00 AM,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,unknown,"287,000","severe weather, hurricane/tropical storm"
Strong Thunderstorm/High Winds,2005,6/29/2005,4:30 PM,7/4/2005,11:30 PM,DTE Energy,Southeast  Michigan,ECAR,"1,000","114,711","severe weather, thunderstorm"
Transmission Equipment Failure,2005,6/24/2005,8:37 PM,6/24/2005,11:06 PM,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,"51,500","equipment failure, transmission interruption"
Strong Thunderstorm/High Winds,2005,6/5/2005,2:00 PM,6/10/2005,7:30 AM,DTE Energy,Southeast  Michigan,ECAR,"1,826","201,580","severe weather, thunderstorm"
Strong Thunderstorm,2005,6/5/2005,2:00 PM,6/7/2005,6:00 PM,Consumers Energy,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,50-60,"105,000","severe weather, thunderstorm"
Strong Thunderstorms,2005,5/29/2005,8:00 PM,5/30/2005,2:30 AM,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,328,"123,000","severe weather, thunderstorm"
Strong Thunderstorms,2005,5/8/2005,3:00 PM,5/8/2005,10:00 PM,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,672,"243,000","severe weather, thunderstorm"
Lightning Strike,2005,4/22/2005,3:51 PM,4/22/2005,3:59 PM,Crockett Cogeneration,"San Francisco Bay area, California",WECC,126,PG&E,"severe weather, thunderstorm"
Load Shedding,2005,2/16/2005,1:26 PM,2/16/2005,1:43 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,325,"139,438",load shedding
Ice Storm,2005,1/29/2005,4:00 PM,1/30/2005,3:00 PM,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,"82,000","severe weather, winter storm"
Winter Storm,2005,1/7/2005,1:00 PM,1/10/2005,8:00 AM,Pacific Gas and Electric Company,Northern California,WECC,120,"442,000","severe weather, winter storm"
Ice Storm,2005,1/5/2005,4:00 PM,1/13/2005,6:00 PM,Ohio Edison/First Energy,Akron and Mansfield areas,ECAR,250,"246,990","severe weather, winter storm"
Winter Ice Storm,2005,1/5/2005,9:10 PM,1/16/2005,11:00 AM,American Electric Power,Indiana Michigan Region - Muncie District,ECAR,545,"114,791","severe weather, winter storm"
Winter Storm,2005,1/4/2005,6:00 PM,1/14/2005,12:00 PM,Westar Energy,Eastern one third of the state of Kansas,SPP,200,"211,000","severe weather, winter storm"
Strong Thunderstorms,2004,11/23/2004,10:00 PM,11/24/2004,1:00 AM,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,150,"119,000","severe weather, thunderstorm"
Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,2004,11/9/2004,2:15 PM,11/12/2004,1:07PM,Keyspan Energy,"Sayreville, New Jersey Long Island, New York",NPCC,0,0,"fuel supply emergency, natural gas"
High Wind Gusts,2004,10/30/2004,12:30  PM,11/3/2004,1:50 PM,DTE Energy,Southeastern Michigan,ECAR,700,"159,870","severe weather, wind"
Major Transmission Distribution System Interruption,2004,10/28/2004,3:27 PM,10/28/2004,6:08 PM,Pacific Gas and Electric  Company,"San  Jose, California",WECC,103,"59,458",transmission interruption
Severe Storm with High Wind Gusts,2004,10/18/2004,10:30 PM,10/20/2004,9:00 AM,Pacific Gas and Electric  Company,Northern California,WECC,140,"407,440","severe weather, wind"
Breaker Failure,2004,10/10/2004,5:09 PM,10/11/2004,7:57 PM,Puerto Rico Electric Power Authority,Island Wide,PR,All,All,equipment failure
Switch Error Concerning Breakers,2004,9/27/2004,4:06 PM,9/27/2004,4:12 PM,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,-,-,equipment failure
Hurricane Jeanne,2004,9/25/2004,5:00 PM,9/26/2004,9:00 AM,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,"26,000","severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/16/2004,9:00 PM,9/20/2004,4:00 PM,Duke Energy Company/Duke Power Control Area,Western  North and South Carolina,SERC,500,"175,000","severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/15/2004,7:00 PM,9/17/2004,7:00 PM,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,916,"916,316","severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/6/2004,1:00 PM,9/9/2004,12:00 PM,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"3,000","99,000","severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/3/2004,9:00 PM,9/5/2004,2:00 PM,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,"26,000","severe weather, hurricane/tropical storm"
Tropical Storm Gaston,2004,8/30/2004,6:58 PM,8/31/2004,3:35 PM,Dominion - Virginia Power/North Carolina Power,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,150,"99,816","severe weather, hurricane/tropical storm"
Major Transmission Line Tripped due to Lightning Strike,2004,8/20/2004,3:31 PM,8/20/2004,9:45 PM,National Grid USA,"Boston, Massachusetts",NPCC,"22,700","380,000","severe weather, thunderstorm, transmission interruption"
Hurricane Charley,2004,8/14/2004,1:00 PM,8/14/2004,11:00 PM,Progress Energy - Carolinas,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,500,"94,000","severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,4:43 PM,8/13/2004,8:24 PM,Tampa Electric Company,"Eastern Hillsborough, Polk County, Florida",FRCC,250,"78,000","severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,10:04 PM,8/14/2004,4:23 PM,"Utilities Commission, City of New Smyrna Beach","New Smyrna Beach, Florida",FRCC,65,"23,000","severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,1:30 PM,8/13/2004,12 AM,Seminole Electric Cooperative,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC,700,"200,000","severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,3:00 PM,8/13/2004,11:00 PM,Florida Power & Light,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,"1,400","1,200,000","severe weather, hurricane/tropical storm"
Fault at Barre Substation,2004,8/4/2004,12:46 PM,8/4/2004,1:50 PM,Southern California Edison,"Northwest Orange County, California",WECC,480,"182,000",equipment failure
Severe Storm,2004,8/3/2004,9:00 PM,8/4/2004,7:00 AM,Commonwealth Edison,Northern Illinois,MAIN,127,"127,000","severe weather, storm"
Severe Storms,2004,7/25/2004,10:00 PM,7/25/2004,11:00 PM,Southern Company,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,61,"61,004","severe weather, storm"
Public Appeal,2004,7/24/2004,3:45 PM,7/25/2004,9:00 PM,Entergy Transmission,Southwest Louisiana in the Acadia Parish vicinity,SPP,-,-,public appeal
Severe Thunderstorms,2004,7/21/2004,5:30 PM,7/22/2004,7:00 PM,Commonwealth Edison,"Chicago, Illinois",MAIN,Approx. 200,"200,000","severe weather, thunderstorm"
Wildfire,2004,7/20/2004,3:44 PM,7/20/2004,5:51 PM,Puerto Rico Electric Power Authority,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,200,"61,624",wild fire
Wildfire/Shed Interruptible Load,2004,7/20/2004,2:26 PM,7/21/2004,2:00 AM,Southern California Edison,"Soledad Canyon near Acton, California",WECC,214,-,"wild fire, load shedding"
Severe Thunderstorms,2004,7/13/2004,4:30 PM,7/17/2004,8:00 a. m.,Cinergy Services,"West, West Central and Southern Indiana",ECAR,600,"135,000","severe weather, thunderstorm"
Units Tripped,2004,7/13/2004,1:34 PM,7/13/2004,5:15 PM,City of Tallahassee,"Leon  County, Florida",FRCC,283,"42,124",generator trip
Severe Thunderstorms,2004,7/7/2004,1:30 PM,7/7/2004,11:54 PM,Dominion - Virginia Power/North Carolina Power,Central Virginia,SERC,120,"88,110","severe weather, thunderstorm"
Thunderstorms,2004,6/23/2004,7:00 PM,6/23/2004,8:00 PM,Southern Company,Georgia and Alabama,SERC,50,"50,595","severe weather, thunderstorm"
Load Shedding,2004,6/23/2004,5:35 PM,6/23/2004,7:10 PM,Idaho Power Company,Southern Idaho,WECC,157,"35,000",load shedding
Tornado,2004,6/12/2004,5:37 PM,6/12/2004,5:41 PM,Lincoln Electric System,"Lincoln, Nebraska",MAPP,428,"120,212","severe weather, tornado"
Severe Storms with Strong Winds,2004,6/1/2004,5:00 PM,6/2/2004,1:00 AM,TXU Electric Delivery,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas",ERCOT,"1,900","500,000","severe weather, wind"
Public Appeals,2004,5/28/2004,12:00 PM,5/31/2004,12:00 AM,Seminole Electric Cooperative,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Public Appeals,2004,5/28/2004,12:00 PM,5/31/2004,12:00 AM,City of Tallahassee,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Public Appeals,2004,5/28/2004,12:00 PM,5/31/2004,12:00 AM,Progress Energy Florida,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Severe Thunderstorms,2004,5/21/2004,4:00  PM,5/24/2004,8:00 PM,Detroit Edison,Southeast Michigan,ECAR,630,"Greater than 250,000","severe weather, thunderstorm"
Severe Thunderstorms,2004,5/21/2004,1:00 PM,5/25/2004,12:00 PM,Consumers Energy,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,200,"248,209","severe weather, thunderstorm"
Strong Thunderstorms,2004,5/11/2004,3:30 PM,5/11/2004,6:00 PM,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 85,"62,500 at peak","severe weather, thunderstorm"
Heat Storm,2004,5/3/2004,2:30 PM,5/3/2004,7:00 PM,Southern California Edison,Central and Southern California,WECC,662,Approx. 940,"severe weather, heat"
Strong Winds,2004,4/27/2004,12:35 PM,4/30/2004,12:00 PM,Snohomish County PUD #1,Snohomish County Washington,WECC,Approx. 300,"187,000","severe weather, wind"
Thunderstorms,2004,4/10/2004,8:00 PM,4/11/2004,4:00 PM,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 100,"85,000 at peak","severe weather, thunderstorm"
Faulty Switch,2004,3/17/2004,1:27 PM,3/17/2004,2:06 PM,El Paso Electric Company,"El Paso, Texas",WECC,Approx. 300,"Approx. 100,000",equipment failure
Inadequate Resources,2004,3/8/2004,6:22 PM,3/8/2004,6:55 PM,Southern California Edison,Southern California not including LA,WECC,300,"Approx. 70,000",fuel supply emergency
Severe Storm,2004,3/7/2004,6:30 PM,3/9/2004,8:00 AM,Duke Energy Company/Duke Power Control Area,North and South Carolina,SERC,"1,000","206,000","severe weather, storm"
Lightning struck Intertie Breaker,2004,2/17/2004,2:25 PM,2/17/2004,11:57 PM,Crockett Cogeneration,"San Francisco Bay area, California",WECC,220,PG&E,"severe weather, thunderstorm"
Ice Storm,2004,2/5/2004,8:00 PM,2/9/2004,8:00 PM,Allegheny Power,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,60,"87,456","severe weather, winter storm"
Ice Storm,2004,1/28/2004,1:09 PM,1/29/2004,5:00 AM,Baltimore Gas & Electric Company,"Harford County, Maryland",MAAC,Approx. 300,"Approx. 70,000","severe weather, winter storm"
Ice Storm,2004,1/26/2004,2:00 PM,1/27/2004,8:00 PM,Southern Company,North and Central area of Georgia,SERC,Less than 150,"30,689","severe weather, winter storm"
Ice Storm,2004,1/26/2004,4:00 PM,1/29/2004,6:30 AM,Progress Energy - Carolinas (Carolina Power and Light),Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,475,"9,905","severe weather, winter storm"
Public Appeal to Reduce Load,2004,1/8/2004,3:00 PM,1/10/2004,7:00 PM,National Grid (New York),"Lake Placid/Saranac, New York",NPCC,100,"18,600",public appeal
Winter Storm,2003,12/28/2003,9:00 PM,1/1/2004,11:30 AM,Pacific Gas and Electric,Northern California,WECC,160,"241,000","severe weather, winter storm"
Cable Failure,2003,12/20/2003,3:51 PM,12/21/2003,11:45 PM,Pacific Gas and Electric,"San Francisco, California",WECC,150,"120,000",equipment failure
Fault on 138 KV line,2003,12/4/2003,10:15 PM,12/8/2003,8:30 AM,Wisconsin Electric Power Company,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,500,"36,000",equipment failure
Fault on 138 KV line,2003,12/4/2003,10:34 PM,12/7/2003,8:30 AM,"American Transmission Company, LLC",Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,650,6 (utilities),equipment failure
Wind Storm,2003,11/13/2003,1:40 PM,11/13/2003,3:51 PM,Dominion-Virginia Power/ North Carolina Power,"Northern Virginia, Richmond area, Eastern Virginia",SERC,300,"67,000","severe weather, wind"
High Winds,2003,11/12/2003,5:00 PM,11/12/2003,7:00 PM,Com Ed,Northern Illinois,MAIN,Est. 371.1,"51,000","severe weather, wind"
Wind Storm,2003,11/12/2003,5:00 PM,11/16/2003,6:00 PM,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,"245,000","severe weather, wind"
Storm with High Winds,2003,11/12/2003,6:00 PM,11/16/2003,5:00 PM,DTE Energy,Southeastern Michigan,ECAR,Est. 75,"160,000","severe weather, wind"
Tornado,2003,11/5/2003,3:16 PM,11/5/2003,3:54 PM,PJM Interconnection,Maryland/Virginia border,MAAC,350,1,"severe weather, tornado"
Hurricane Isabel,2003,9/18/2003,9:00 PM,9/21/2003,5:00 PM,PPL Electric Utilities,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,"1,300","425,000","severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,3:32 PM,9/19/2003,5:00 PM,Duke Energy Company/Duke Power Control Area,Triangle and Tridad (Greensboro _ High Point)  Areas North Carolina - Northern Region,SERC,500-700,"Under 50,000","severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,2:00 PM,9/24/2003,12:00 AM,Allegheny Power,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,"3,085","237,366","severe weather, hurricane/tropical storm"
Severe Thunderstorms,2003,8/26/2003,4:22 PM,8/31/2003,6:00 PM,Potomac Electric Power Company,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,"1,500","153,000","severe weather, thunderstorm"
Severe Thunderstorms,2003,8/26/2003,4:00 PM,8/29/2003,12:00 PM,Baltimore Gas and Electric,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,625,"93,000 at peak 133,000 cumulative","severe weather, thunderstorm"
Unknown *,2003,8/14/2003,4:11 PM,8/15/2003,9:03 PM,Consolidated Edison Co of  New York,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,"11,202","3,125,350",unknown
Unknown *,2003,8/14/2003,4:10 PM,8/16/2003,8:27 PM,First Energy Corporation,"Northeast, Ohio",ECAR,"7,000","1,203,000",unknown
Unknown *,2003,8/14/2003,4:09 PM,8/16/2003,7:00 AM,Detroit Edison,Southeastern Michigan including all of Detroit,ECAR,"11,000","2,100,000",unknown
Unknown *,2003,8/14/2003,4:10 PM,8/18/2003,12:03 AM,New York Independent System Operator,New York State,NPCC,"22,934",unknown,unknown
Unknown *,2003,8/14/2003,4:09 PM,8/16/2003,1:03 PM,Consumers Power,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,"1,007","101,000",unknown
Breaker Closed,2003,7/28/2003,6:55 PM,7/28/2003,8:35 PM,Arizona Public Service,Arizona,WECC,440,"90,000",equipment failure
Severe Storms,2003,7/21/2003,5:15 PM,7/24/2003,5:33 AM,PPL Electric Utilities,Pennsylvania,MAAC,500-1000,"185,000","severe weather, storm"
Severe Thunderstorms,2003,7/9/2003,5:14 PM,7/9/2003,7:09 PM,Dominion Virginia/North Carolina Power,Northern Central and Eastern Virginia,SERC,120,"80,000","severe weather, thunderstorm"
Severe Storms,2003,7/4/2003,11:41 PM,7/6/2003,9:00 PM,Cinergy,"Southwest Ohio, portions of Indiana",ECAR,200,"55,142","severe weather, storm"
Unit Tripped,2003,7/2/2003,1:54 PM,7/2/2003,3:59 PM,Pacific Gas and Electric Company,Northern California,WECC,200,1,generator trip
